produto,categoria,preco_atual,custo_unitario,quantidade_vendida
Camiseta Basica,Vestuario,39.90,14.00,220
Camiseta Estampada,Vestuario,59.90,20.00,180
Calca Jeans Slim,Vestuario,129.90,52.00,90
Calca Moletom,Vestuario,89.90,34.00,130
Bermuda Tactel,Vestuario,59.90,22.00,160
Jaqueta Corta Vento,Vestuario,219.90,95.00,45
Vestido Casual,Vestuario,99.90,38.00,75
Tenis Casual,Calcados,189.90,85.00,55
Sandalia Feminina,Calcados,79.90,30.00,110
Chinelo Basico,Calcados,29.90,9.00,350
Mochila Urbana,Acessorios,89.90,36.00,100
Bone Aba Reta,Acessorios,39.90,12.00,280
Cinto de Couro,Acessorios,49.90,18.00,140
Meias Kit 3 Pares,Acessorios,24.90,7.00,420
Oculos de Sol,Acessorios,69.90,22.00,95
